name,par,status,n_toas,pint_prefit_us,jug_prefit_us,prefit_ratio,pint_postfit_us,jug_postfit_us,postfit_ratio,param_diffs,pint_prefit_time_s,jug_prefit_time_s,pint_postfit_time_s,jug_postfit_time_s
B1855+09,B1855+09_PINT_20220301.nb.par,OK,7758,1.0238733815643400772,1.0237047722603376,0.99983532211400511305,0.6977111633883292629,0.6928514027461843,0.99303470992416936465,PX:-2.274e-02(2.78%) EPS1:+2.490e-09(0.01%) EPS2:+3.379e-09(0.14%) SINI:+8.500e-06(0.00%) M2:-1.180e-03(0.45%) PMELONG:+4.805e-04(0.01%) PMELAT:-1.863e-03(0.04%) FD1:+4.078e-06(2.97%) FD2:-4.977e-06(3.15%) FD3:+2.715e-06(3.14%),3.3015408515930176,1.0646486282348633,11.775050163269043,0.7150378227233887
B1937+21,B1937+21_PINT_20220306.nb.par,OK,23023,6.2181767184125222997,6.2186719913530535,1.0000796492224263493,0.9812451801098693025,0.665578724308739,0.6783001209078190102,PX:-2.958e-01(1456.77%) PMELONG:-3.962e-02(119.78%) PMELAT:+1.362e-02(3.62%) FD1:+9.271e-04(62.05%) FD2:-9.297e-04(62.29%) FD3:+6.439e-04(66.12%) FD4:-3.407e-04(79.72%),9.569278240203857,1.6033496856689453,25.071566104888916,1.4294812679290771
B1937+21ao,B1937+21ao_PINT_20220304.nb.par,OK,7241,3.4009702992461185004,3.4015735049113616,1.0001773628147757649,0.49531682520987474355,0.46128468852387344,0.93129218521583379355,PX:+1.948e-02(4.36%) PMELONG:+1.340e-02(115.15%) PMELAT:-1.594e-02(3.28%) FD1:-2.990e-03(164.18%) FD2:+2.855e-03(163.06%) FD3:-1.573e-03(160.53%) FD4:+4.075e-04(157.29%),3.162010431289673,0.7612228393554688,7.088094711303711,0.5080585479736328
B1937+21gbt,B1937+21gbt_PINT_20220304.nb.par,OK,16048,4.033532455066441771,4.034298863411982,1.0001900092174979742,1.1306826907641467884,0.6813572280664006,0.6026069326363530797,PX:-8.369e-02(138.06%) PMELONG:-1.471e-02(41.91%) PMELAT:+4.641e-03(1.31%) FD1:-2.483e-04(93.62%) FD2:+2.489e-04(95.51%) FD3:-1.593e-04(108.07%) FD4:+5.556e-05(147.70%),6.563931941986084,1.0281307697296143,15.657456874847412,0.8701856136322021
B1953+29,B1953+29_PINT_20220301.nb.par,OK,5126,4.0808929290395922237,4.080910863083796,1.0000043946372804738,3.4597259094711285737,3.4593691871486922,0.9998968928950528145,PX:-2.304e-03(0.42%) PMELONG:-2.843e-04(0.01%) PMELAT:-8.742e-04(0.03%) FD1:-1.052e-07(0.08%) FD2:+4.311e-08(0.08%),2.185332775115967,0.9230551719665527,6.970914363861084,0.4944734573364258
J0023+0923,J0023+0923_PINT_20220301.nb.par,OK,15896,1.2036794967598684667,1.2036798650382023,1.000000305960461128,1.2036517375220508393,1.203559871505757,0.9999236772453109871,PX:+3.030e-03(0.31%) EPS1:+1.507e-07(2.26%) EPS2:-6.103e-08(2.23%) PMELONG:+1.668e-03(0.01%) PMELAT:-1.143e-02(2.76%) FD1:+1.370e-05(3.65%) FD2:-1.306e-05(3.86%) FD3:+1.144e-05(4.21%) FD4:-7.878e-06(5.39%) FB1:-5.692e-23(0.16%) FB2:+2.420e-30(0.72%) FB3:+1.342e-37(0.56%) FB4:-1.861e-45(0.85%) FB5:-1.691e-52(1.19%),6.621240854263306,1.0482947826385498,25.242457628250122,1.1606056690216064
J0030+0451,J0030+0451_PINT_20220302.nb.par,OK,19571,1.3001244400265977471,1.3000458132060366,0.9999395236193240765,1.0963428024831236744,1.0962861098310526,0.9999482893015371637,PX:-8.502e-03(0.28%) PMELONG:+3.693e-04(0.01%) PMELAT:+2.336e-02(0.91%) FD1:+8.928e-06(3.38%) FD2:-9.673e-06(3.35%) FD3:+7.043e-06(3.39%) FD4:-2.601e-06(3.56%),8.32318925857544,1.0274684429168701,21.179853916168213,1.1560752391815186
J0340+4130,J0340+4130_PINT_20220302.nb.par,OK,11093,5.62042441481885625,5.620420383190894,0.99999928268264736374,5.6196039728457190332,5.619554670978649,0.9999912268075635432,PX:-1.614e-02(2.09%) PMELONG:+6.962e-04(0.05%) PMELAT:-6.451e-04(0.02%) FD1:-1.316e-06(1.41%) FD2:+9.461e-07(2.06%),4.587621450424194,0.8978755474090576,9.843031167984009,0.6570539474487305
J0406+3039,J0406+3039_PINT_20220304.nb.par,OK,2446,1.4812844615477250592,1.4812897794878972,1.0000035900870563241,1.4812788681435221061,1.481268744258645,0.99999316544298655297,PX:+4.543e-03(1.75%) EPS1:+4.235e-09(0.11%) EPS2:-5.729e-09(0.05%) PMELONG:-1.383e-04(0.00%) PMELAT:+2.470e-03(0.14%) FD1:+6.809e-08(0.85%),1.185863971710205,0.5578587055206299,3.760972499847412,0.3671236038208008
J0437-4715,J0437-4715_PINT_20220301.nb.par,OK,5830,0.83945159366431304493,0.8393066095159476,0.99982728706519863587,0.6625670085207265084,0.6549863143361709,0.9885585999799770746,F1:-3.361e-20(0.00%) PX:+1.124e+00(14.49%) ECC:+6.057e-08(0.31%) OM:+3.553e-02(1.60%) PBDOT:+1.628e-12(181.93%) PMELONG:+1.855e-02(0.02%) PMELAT:-9.225e-02(0.08%) FD1:-8.847e-06(18.17%) FD2:+5.980e-06(23.12%) FD3:-1.516e-06(24.13%),2.3376076221466064,0.6823203563690186,7.3244428634643555,0.48014235496520996
J0509+0856,J0509+0856_PINT_20220302.nb.par,OK,2169,5.047615457973266215,5.047618828689616,1.0000006677839027698,5.0475338460922525153,5.047514250791947,0.9999961178466745965,F1:+9.720e-21(0.00%) PX:-3.637e-02(2.07%) EPS1:+2.612e-09(0.02%) EPS2:-2.650e-09(0.01%) PMELONG:+1.817e-02(0.44%) PMELAT:-1.214e-02(0.22%),1.0799803733825684,0.36352109909057617,3.271683931350708,0.36120080947875977
J0557+1551,J0557+1551_PINT_20220302.nb.par,OK,525,3.67620893845152668,3.6762250675276964,1.0000043874209653909,3.6762026276324273398,3.675292659519906,0.99975247063214593284,F1:+2.073e-20(0.00%) PX:-1.045e-02(1.10%) EPS1:-2.195e-09(0.03%) EPS2:+2.129e-08(2.37%) PMELONG:-2.409e-02(1.45%) PMELAT:-3.167e-01(10.49%),0.33333253860473633,0.31326842308044434,1.6575829982757568,0.2930488586425781
J0605+3757,J0605+3757_PINT_20220301.nb.par,OK,554,3.7385121896139603531,3.7384849566215133,0.999992715553389727,3.6445738905039899362,3.643909735551858,0.99981776883331615973,F1:-1.707e-20(0.00%) PX:+1.459e-02(0.41%) ECC:+2.365e-08(0.01%) OM:-1.765e-03(0.00%) PMELONG:+4.750e-02(1.42%) PMELAT:+3.412e-01(3.78%),0.33986401557922363,0.3140287399291992,1.4564814567565918,0.22453618049621582
J0610-2100,J0610-2100_PINT_20220301.nb.par,OK,4885,5.3845752523751929733,5.384562378083357,0.99999760904226755206,5.249454347902139337,5.2493460825068805,0.99997937587640854575,PX:-8.921e-04(0.01%) EPS1:+2.090e-07(0.79%) EPS2:+7.750e-07(9.24%) PMELONG:-1.425e-03(0.01%) PMELAT:+2.970e-03(0.02%) FD1:+1.066e-04(2.12%) FD2:-1.074e-04(2.13%) FD3:+6.860e-05(2.08%) FD4:-2.312e-05(1.95%),2.2562899589538574,0.4710259437561035,6.496208667755127,0.4805107116699219
J0613-0200,J0613-0200_PINT_20220302.nb.par,OK,17124,1.0471383405319777724,1.046855778825758,0.9997301581889588285,0.8823929789837489827,0.8821994965052464,0.999780729807341182,PX:+2.430e-03(0.26%) EPS1:-8.862e-08(4.05%) EPS2:-2.270e-09(0.07%) SINI:-1.232e-02(1.36%) M2:+2.972e-02(12.37%) PBDOT:+4.723e-16(1.68%) PMELONG:+1.677e-04(0.01%) PMELAT:+3.774e-03(0.04%) FD1:-5.505e-07(4.04%) FD2:+4.106e-07(1.39%),7.244058609008789,1.2066240310668945,26.15592646598816,1.1149163246154785
J0614-3329,J0614-3329_PINT_20220301.nb.par,OK,1714,1.9614000554060626694,1.9614119237590808,1.0000060509598668657,1.9533601780468212694,1.9533391808160152,0.99998925071216151415,F1:-1.801e-21(0.00%) PX:+3.103e-03(0.05%) OM:+1.860e-04(0.00%) PMELONG:-2.029e-03(0.42%) PMELAT:+6.657e-03(0.29%) FD1:-1.664e-10(0.00%),0.7068848609924316,0.3485243320465088,2.6891255378723145,0.27116942405700684
