name,par,status,n_toas,pint_prefit_us,jug_prefit_us,prefit_ratio,pint_postfit_us,jug_postfit_us,postfit_ratio,param_diffs,pint_prefit_time_s,jug_prefit_time_s,pint_postfit_time_s,jug_postfit_time_s
B1855+09,B1855+09_PINT_20220301.nb.par,OK,7758,1.0238733815643400772,1.0237047722603376,0.99983532211400511305,0.6977111633883292629,0.9612631151071965,1.3777379029439157568,F1:+9.165e-21(0.00%) PX:-6.720e-02(8.21%) EPS1:-7.953e-09(0.04%) EPS2:-1.285e-09(0.05%) SINI:-1.378e-04(0.01%) M2:+7.042e-04(0.27%) FD1:-2.209e-05(16.09%) FD2:+2.698e-05(17.06%) FD3:-1.549e-05(17.94%),3.329848289489746,1.063603401184082,11.698975801467896,1.4050958156585693
B1937+21,B1937+21_PINT_20220306.nb.par,OK,23023,6.2181767184125222997,6.2186719913530535,1.0000796492224263493,0.9812451801098693025,5.838804411239044,5.950403150602255812,F1:+2.787e-19(0.00%) PX:+2.508e-01(1235.00%) FD1:-7.234e-04(48.42%) FD2:+7.233e-04(48.46%) FD3:-4.654e-04(47.80%) FD4:+1.937e-04(45.33%),9.584775686264038,1.7834539413452148,25.177327871322632,1.6722264289855957
B1937+21ao,B1937+21ao_PINT_20220304.nb.par,OK,7241,3.4009702992461185004,3.4015735049113616,1.0001773628147757649,0.49531682520987474355,2.567311881950583,5.1831711568908772495,PX:+5.952e-01(133.25%) FD1:+1.067e-03(58.58%) FD2:-1.015e-03(58.00%) FD3:+5.566e-04(56.80%) FD4:-1.438e-04(55.50%),3.139388084411621,0.7581801414489746,7.200258255004883,0.7980587482452393
B1937+21gbt,B1937+21gbt_PINT_20220304.nb.par,OK,16048,4.033532455066441771,4.034298863411982,1.0001900092174979742,1.1306826907641467884,3.5533216149747675,3.1426337769205027791,F1:+1.060e-19(0.00%) PX:+7.699e-02(127.01%) FD1:-5.359e-05(20.21%) FD2:+5.104e-05(19.59%) FD3:-1.727e-05(11.72%) FD4:-6.368e-06(16.93%),6.569595813751221,1.0385253429412842,15.696918725967407,1.1750178337097168
B1953+29,B1953+29_PINT_20220301.nb.par,JUG_POSTFIT_ERROR,5126,4.0808929290395922237,4.080910863083796,1.0000043946372804738,3.4597259094711285737,,,ValueError: Parameter XDOT not found in .par file and no default available,2.173903465270996,0.9006507396697998,7.027363300323486,
J0023+0923,J0023+0923_PINT_20220301.nb.par,OK,15896,1.2036794967598684667,1.2036798650382023,1.000000305960461128,1.2036517375220508393,1.2035896681185498,0.9999484324231286509,PX:-7.118e-03(0.72%) EPS1:+2.717e-08(0.41%) EPS2:+2.464e-08(0.90%) FD1:+7.836e-06(2.09%) FD2:-7.638e-06(2.26%) FD3:+6.487e-06(2.38%) FD4:-4.157e-06(2.84%) FB1:+3.832e-23(0.11%) FB2:+2.895e-30(0.87%) FB3:-8.904e-38(0.37%) FB4:-3.002e-45(1.37%) FB5:+1.242e-52(0.87%),6.624613523483276,1.2441473007202148,25.2108736038208,1.745997667312622
J0030+0451,J0030+0451_PINT_20220302.nb.par,OK,19571,1.3001244400265977471,1.3000458132060366,0.9999395236193240765,1.0963428024831236744,1.0962861098310526,0.9999482893015371637,PX:-8.502e-03(0.28%) FD1:+8.928e-06(3.38%) FD2:-9.673e-06(3.35%) FD3:+7.043e-06(3.39%) FD4:-2.601e-06(3.56%),8.410656690597534,1.2639954090118408,20.99691677093506,1.4005067348480225
J0340+4130,J0340+4130_PINT_20220302.nb.par,OK,11093,5.62042441481885625,5.620420383190894,0.99999928268264736374,5.6196039728457190332,5.619554670978649,0.9999912268075635432,PX:-1.614e-02(2.09%) FD1:-1.316e-06(1.41%) FD2:+9.461e-07(2.06%),4.6087024211883545,0.6815567016601562,10.025128841400146,0.9011576175689697
J0406+3039,J0406+3039_PINT_20220304.nb.par,OK,2446,1.4812844615477250592,1.4812897794878972,1.0000035900870563241,1.4812788681435221061,1.481268744258645,0.99999316544298655297,PX:+4.543e-03(1.75%) EPS1:+4.235e-09(0.11%) EPS2:-5.729e-09(0.05%) FD1:+6.809e-08(0.85%),1.0136337280273438,0.76603102684021,3.6234748363494873,1.0435068607330322
J0437-4715,J0437-4715_PINT_20220301.nb.par,JUG_POSTFIT_ERROR,5830,0.83945159366431304493,0.8393066095159476,0.99982728706519863587,0.6625670085207265084,,,ValueError: Parameter XDOT not found in .par file and no default available,2.3370015621185303,0.4934985637664795,7.548499822616577,
J0509+0856,J0509+0856_PINT_20220302.nb.par,OK,2169,5.047615457973266215,5.047618828689616,1.0000006677839027698,5.0475338460922525153,5.047514250791947,0.9999961178466745965,F1:+9.720e-21(0.00%) PX:-3.637e-02(2.07%) EPS1:+2.612e-09(0.02%) EPS2:-2.650e-09(0.01%),1.062056541442871,0.3628706932067871,3.276228904724121,1.0072247982025146
J0557+1551,J0557+1551_PINT_20220302.nb.par,OK,525,3.67620893845152668,3.6762250675276964,1.0000043874209653909,3.6762026276324273398,3.6752926595199056,0.99975247063214581206,F1:+2.073e-20(0.00%) PX:-1.045e-02(1.10%) EPS1:-2.195e-09(0.03%) EPS2:+2.129e-08(2.37%),0.3375113010406494,0.3111917972564697,1.6405458450317383,0.87772536277771
J0605+3757,J0605+3757_PINT_20220301.nb.par,OK,554,3.7385121896139603531,3.7384849566215133,0.999992715553389727,3.6445738905039899362,3.643909735551853,0.9998177688333148194,F1:-1.707e-20(0.00%) PX:+1.459e-02(0.41%) ECC:+2.365e-08(0.01%) OM:-1.765e-03(0.00%),0.3394789695739746,0.31476640701293945,1.4594790935516357,0.7285594940185547
J0610-2100,J0610-2100_PINT_20220301.nb.par,OK,4885,5.3845752523751929733,5.384562378083357,0.99999760904226755206,5.249454347902139337,5.2493460825068805,0.99997937587640854575,PX:-8.921e-04(0.01%) EPS1:+2.090e-07(0.79%) EPS2:+7.750e-07(9.24%) FD1:+1.066e-04(2.12%) FD2:-1.074e-04(2.13%) FD3:+6.860e-05(2.08%) FD4:-2.312e-05(1.95%),2.2561380863189697,0.46654391288757324,6.550402402877808,1.2100703716278076
J0613-0200,J0613-0200_PINT_20220302.nb.par,OK,17124,1.0471383405319777724,1.046855778825758,0.9997301581889588285,0.8823929789837489827,0.8821994965052464,0.999780729807341182,PX:+2.430e-03(0.26%) EPS1:-8.862e-08(4.05%) EPS2:-2.270e-09(0.07%) SINI:-1.232e-02(1.36%) M2:+2.972e-02(12.37%) PBDOT:+4.723e-16(1.68%) FD1:-5.505e-07(4.04%) FD2:+4.106e-07(1.39%),7.48699164390564,0.9160053730010986,26.233051776885986,1.9450101852416992
J0614-3329,J0614-3329_PINT_20220301.nb.par,OK,1714,1.9614000554060626694,1.9614119237590808,1.0000060509598668657,1.9533601780468212694,1.953339180816015,0.99998925071216140047,F1:-1.801e-21(0.00%) PX:+3.103e-03(0.05%) OM:+1.860e-04(0.00%) FD1:-1.664e-10(0.00%),0.7148792743682861,0.34709715843200684,2.691167116165161,0.8935441970825195
J0636+5128,J0636+5128_PINT_20220303.nb.par,OK,32222,3.0418863933004230257,3.0418857285134107,0.99999978145567374523,3.0418541871941424505,3.0418433371772813,0.99999643309107095053,PX:+1.777e-03(0.22%) EPS1:-2.222e-07(1.43%) EPS2:+3.262e-07(6.32%) FD1:+1.242e-08(0.03%) FB1:+1.270e-22(0.24%) FB2:+1.332e-30(0.08%) FB3:-1.520e-37(0.37%),13.503798484802246,2.0396807193756104,45.793901681900024,2.349139928817749
J0645+5158,J0645+5158_PINT_20220302.nb.par,OK,10403,0.5682313231677935141,0.5682275014199616,0.99999327430981696106,0.56803960750235713424,0.5679497580738181,0.9998418254161288007,PX:+1.073e-02(1.71%) FD1:-2.869e-06(21.94%) FD2:+2.181e-06(18.93%),4.203244924545288,0.6893846988677979,10.223030090332031,0.9401142597198486
J0709+0458,J0709+0458_PINT_20220302.nb.par,OK,3030,9.592904059891264377,9.592900034895282,0.9999995804194477801,9.592809118541543271,9.592631293709415,0.9999814626946152153,F1:-2.108e-21(0.00%) PX:+2.298e-01(21.91%) ECC:-1.720e-08(0.01%) OM:-3.252e-03(0.00%) FD1:-6.805e-07(1.75%),1.2259407043457031,0.3952901363372803,4.251844167709351,1.006216049194336
J0740+6620,J0740+6620_PINT_20220302.nb.par,OK,13401,1.4004010157550099303,1.4003997278814109,0.99999908035370970924,1.3987306837807938361,1.3987244440308972,0.99999553899119469555,PX:+1.592e-04(0.01%) EPS1:+3.031e-10(0.01%) EPS2:-2.996e-10(0.02%) SINI:+1.002e-06(0.00%) M2:-5.168e-05(0.02%) PBDOT:-1.005e-15(0.10%) FD1:+2.009e-07(0.29%) FD2:-2.082e-07(0.26%) FD3:+1.021e-07(0.28%),6.072750568389893,0.8098702430725098,19.622215032577515,1.827662467956543
J0931-1902,J0931-1902_PINT_20220301.nb.par,OK,5473,3.6828431748232132077,3.682838880750873,0.99999883403334423614,3.6828428662570499173,3.6827190035276525,0.99996636763123067116,F1:-3.416e-22(0.00%) PX:+4.393e-02(4.32%),2.4029996395111084,0.5118696689605713,5.514837026596069,0.7447118759155273
J1012+5307,J1012+5307_PINT_20220305.nb.par,JUG_POSTFIT_ERROR,25837,1.7947439763492523534,1.7945686140799764,0.9999022912061069021,1.5713358722047731864,,,ValueError: Parameter XDOT not found in .par file and no default available,11.244625806808472,1.2368497848510742,38.528709173202515,
J1012-4235,J1012-4235_PINT_20220301.nb.par,OK,797,6.213469798982025602,6.213487373178394,1.0000028284029594868,6.213240768212678168,6.209775721556989,0.9994423125088896137,F1:+7.127e-20(0.01%) PX:+7.700e-01(39.08%) ECC:+3.529e-08(0.01%) OM:-1.773e-03(0.00%),0.40618419647216797,0.3304939270019531,1.716712474822998,0.838376522064209
J1022+1001,J1022+1001_PINT_20220304.nb.par,JUG_POSTFIT_ERROR,3978,4.7864764718150066116,4.7863850056215425,0.99998089070446647916,1.934362002680459967,,,ValueError: Parameter XDOT not found in .par file and no default available,2.0389652252197266,0.4536724090576172,5.706120729446411,
J1024-0719,J1024-0719_PINT_20220302.nb.par,OK,12635,1.8878921344460037149,1.8878984344400065,1.000003337051883329,1.887297034071706594,1.887299562153708,1.0000013395252341598,F2:+3.585e-31(0.01%) PX:-1.194e-03(0.16%) FD1:-1.067e-05(0.07%) FD2:+1.068e-05(0.07%) FD3:-7.173e-06(0.07%) FD4:+3.544e-06(0.07%),5.459258079528809,0.7897038459777832,12.325861692428589,1.1544976234436035
J1125+7819,J1125+7819_PINT_20220304.nb.par,JUG_POSTFIT_ERROR,8723,4.7691867881817746936,4.769266742518073,1.0000167647735031571,3.665667236874210488,,,ValueError: Parameter XDOT not found in .par file and no default available,3.673684597015381,0.6301710605621338,12.212692499160767,
J1312+0051,J1312+0051_PINT_20220303.nb.par,OK,1705,4.8641312854438062915,4.86413258408098,1.0000002669823442675,4.8641285419507567255,4.863822934581473,0.99993717119795507087,F1:-1.773e-20(0.00%) PX:-1.685e-01(7.05%) ECC:-1.921e-08(0.01%) OM:+2.772e-03(0.00%),0.7488751411437988,0.3720688819885254,2.75312876701355,0.9041492938995361
J1453+1902,J1453+1902_PINT_20220302.nb.par,OK,2551,5.627863838548048383,5.6278549784498075,0.99999842567295602226,5.516644520482182336,5.515313963822301,0.99975881051335802806,F1:-4.198e-22(0.00%) PX:-3.835e-02(24.46%),1.0676612854003906,0.3980536460876465,3.06242036819458,0.5575649738311768
J1455-3330,J1455-3330_PINT_20220301.nb.par,JUG_POSTFIT_ERROR,10818,3.7615104143995887215,3.761515702604032,1.0000014058726045372,3.7562442613323340729,,,ValueError: Parameter XDOT not found in .par file and no default available,4.5589821338653564,0.7326340675354004,15.098939657211304,
J1600-3053,J1600-3053_PINT_20220302.nb.par,JUG_POSTFIT_ERROR,22955,1.1076944759641820419,1.107724148777555,1.000026787904080884,1.0844049190562624896,,,ValueError: Parameter XDOT not found in .par file and no default available,10.455333471298218,1.693222999572754,34.392189741134644,
J1600-3053gbt,J1600-3053gbt_PINT_20220302.nb.par,JUG_POSTFIT_ERROR,19725,1.0543431687819356646,1.054285379380254,0.99994518919134420883,1.0322652716088108164,,,ValueError: Parameter XDOT not found in .par file and no default available,8.942553997039795,1.057368516921997,29.331702709197998,
J1614-2230,J1614-2230_PINT_20220301.nb.par,OK,18445,1.7237925046400396494,1.7237182628201868,0.99995693111575030077,1.7041865201213294628,1.7041774315843674,0.99999466693530623186,PX:-6.841e-04(0.05%) EPS1:-8.044e-11(0.09%) EPS2:+5.942e-11(0.00%) M2:+5.690e-05(0.01%) PBDOT:+8.798e-16(0.07%),7.965855121612549,0.9951016902923584,28.674734592437744,1.985898494720459
